num_comparendo;cod_comparendo;fecha_deteccion;dia;hora;fecha_imposicion;fuente_comparendo;tipo_vehiculo;marca;modelo
1001;B.01;2017-08-13 11:30;13;11:30:00;2017-08-12 19:00;Lapiz optico;AUTOMOVIL;SINREGISTRO;0
1056;C.02;2017-08-10 16:12;10;16:12:00;2017-08-13 06:41;Electronico DEAP;CAMIONETA;AUDI;2015
1240;C.02;2017-08-10 15:58;10;15:58:00;2017-08-13 06:30;Electronico DEAP;AUTOMOVIL;RENAULT;1974
1307;F.07;2017-08-13 10:10;13;10:10:00;2017-08-12 19:00;Lapiz optico;AUTOMOVIL;SINREGISTRO;0
1382;C.02;2017-08-10 16:10;10;16:10:00;2017-08-13 06:39;Electronico DEAP;AUTOMOVIL;NISSAN;2011
1459;C.02;2017-08-10 16:01;10;16:01:00;2017-08-13 06:31;Electronico DEAP;AUTOMOVIL;KIA;2011
1687;C.35;2017-08-13 10:40;13;10:40:00;2017-08-12 19:00;Lapiz optico;AUTOMOVIL;SINREGISTRO;0
1920;H.03;2017-08-13 19:00;13;19:00:00;2017-08-12 19:00;Lapiz optico;MOTOCICLETA;SINREGISTRO;0
3000;C.02;2017-08-10 16:31;10;16:31:00;2017-08-13 06:45;Electronico DEAP;AUTOMOVIL;CHEVROLET;2008
1841;C.02;2017-08-10 15:53;10;15:53:00;2017-08-13 06:24;Electronico DEAP;AUTOMOVIL;SUZUKI;2008
2000;H.04;2017-08-13 19:00;13;19:00:00;2017-08-12 19:00;Lapiz optico;AUTOMOVIL;SINREGISTRO;0
5200;C.02;2017-08-10 15:57;10;15:57:00;2017-08-13 06:29;Electronico DEAP;AUTOMOVIL;RENAULT;2010
7800;C.03;2017-08-13 16:30;13;16:30:00;2017-08-12 19:00;Lapiz optico;AUTOMOVIL;SINREGISTRO;0
9000;C.02;2017-08-10 16:18;10;16:18:00;2017-08-13 06:43;Electronico DEAP;AUTOMOVIL;CHEVROLET;2007
